province,market_type,model,split,n_samples,MAPE,RMSE,MAE,R2,training_time
alicante,sales,Gradient Boosting,test,228,3.3209927935892827,6298.351599749306,3099.1347174671023,0.9908131564804672,0.10587406158447266
alicante,sales,Decision Tree,train,908,2.3607578800385514,5646.766210333623,2722.000471013396,0.9936338899341168,0.0027158260345458984
alicante,sales,Decision Tree,test,228,6.273989270054557,10353.613079908579,6151.894842107497,0.9751745928909067,0.0027158260345458984
valencia,sales,Support Vector Regression,train,876,62.067769649902225,89533.8019797931,62427.042288165656,0.041601512673234975,0.032816171646118164
valencia,sales,Support Vector Regression,test,220,54.7527637997707,80659.33260291237,56470.24939221178,0.0753157776297374,0.032816171646118164
valencia,sales,Random Forest,train,876,1.9991272314170483,5470.238577688191,2213.6168104872904,0.9964224591468165,0.07623505592346191
valencia,sales,Random Forest,test,220,2.9385382854745035,8640.655182218377,4163.125400573066,0.9893884812035473,0.07623505592346191
valencia,sales,Gradient Boosting,train,876,0.5547036875200374,761.6725365159662,542.7410408774657,0.9999306400679351,0.1060950756072998
valencia,sales,Gradient Boosting,test,220,2.534749954793093,7103.0142747797545,3258.608975545632,0.9928291675693863,0.1060950756072998
valencia,sales,Decision Tree,train,876,2.052413022905115,5471.711871035152,2618.234865857126,0.9964205318170126,0.0023169517517089844
valencia,sales,Decision Tree,test,220,5.0753497014284585,11007.529549361598,6440.417071262072,0.9827787798366447,0.0023169517517089844
segovia,sales,Support Vector Regression,train,836,62.64380183511874,83104.85091746526,58101.108058342405,0.04586032176209298,0.02968764305114746
segovia,sales,Support Vector Regression,test,209,67.71991809599388,75559.92043277838,52753.25899455042,0.06459997151006724,0.02968764305114746
segovia,sales,Random Forest,train,836,2.1246623597625063,7361.946394856111,2527.592919032439,0.9925123677058789,0.07530713081359863
segovia,sales,Random Forest,test,209,4.396052451961292,13731.758220277601,4659.796756157076,0.9691065300412829,0.07530713081359863
segovia,sales,Gradient Boosting,train,836,0.856332670403311,1118.649623839143,822.1396516710311,0.9998271189590384,0.10079789161682129
segovia,sales,Gradient Boosting,test,209,3.91590333871798,11671.821568600977,4534.312422455088,0.9776801292997834,0.10079789161682129
segovia,sales,Decision Tree,train,836,3.3150259830427533,7077.932677148806,3614.6647114667244,0.9930789488016113,0.002401113510131836
segovia,sales,Decision Tree,test,209,9.705218021963944,17919.17428891932,8789.412659322103,0.9473921707214612,0.002401113510131836
soria,sales,Support Vector Regression,train,736,74.35210914512733,57857.66015101584,42068.711858476425,0.07801521352855767,0.024049997329711914
soria,sales,Support Vector Regression,test,185,77.87788151385733,51730.719148903336,40618.31162459067,0.10349933428008651,0.024049997329711914
soria,sales,Random Forest,train,736,2.578628311174389,11277.353794648394,2282.101698546648,0.9649719118991222,0.07341194152832031
soria,sales,Random Forest,test,185,5.793018254785016,9522.139365538727,4673.16727856765,0.9696245548256371,0.07341194152832031
soria,sales,Gradient Boosting,train,736,1.230444820000088,1245.2083786295086,926.8293121062113,0.9995729427579134,0.0896298885345459
soria,sales,Gradient Boosting,test,185,5.088351336483046,10015.917761197557,4600.628626006908,0.9663925868867088,0.0896298885345459
soria,sales,Decision Tree,train,736,3.070596338451338,13995.889188128938,3334.2578930806512,0.9460485634265101,0.001978158950805664
soria,sales,Decision Tree,test,185,8.3631925103719,14680.565852827507,7590.793558558558,0.9277996711644818,0.001978158950805664
cadiz,sales,Support Vector Regression,train,536,33.1847364799114,42421.956585474094,26366.278325275427,0.04359545124454045,0.012212991714477539
cadiz,sales,Support Vector Regression,test,134,35.95699493581128,41016.36743179323,28260.128820076774,0.06646033835508125,0.012212991714477539
cadiz,sales,Random Forest,train,536,2.2026618653652092,8352.287224009706,2131.264031284288,0.9629258601276134,0.07598495483398438
cadiz,sales,Random Forest,test,134,4.240942997448069,10885.873100698522,4351.163342946411,0.9342425567886067,0.07598495483398438
cadiz,sales,Gradient Boosting,train,536,0.8060203206571125,872.4962212782808,627.1681942616191,0.9995954358905196,0.061779022216796875
cadiz,sales,Gradient Boosting,test,134,3.5031748873972592,10231.926148825485,3607.793380887662,0.9419057462109588,0.061779022216796875
cadiz,sales,Decision Tree,train,536,2.768793839605878,7349.467711572683,2624.4938403221986,0.971294043978643,0.0015769004821777344
cadiz,sales,Decision Tree,test,134,7.954950161280232,16460.703743864247,7862.761253257522,0.8496459325960624,0.0015769004821777344
santa_cruz_de_tenerife,sales,Support Vector Regression,train,474,36.515288797513946,68677.23159570395,47251.138857590944,0.023119996310135282,0.009717941284179688
santa_cruz_de_tenerife,sales,Support Vector Regression,test,119,33.610680201628334,55550.4435665662,41358.53607678803,0.059594237917918624,0.009717941284179688
santa_cruz_de_tenerife,sales,Random Forest,train,474,2.339845998767746,10861.652730067832,3588.274581292655,0.9755652732878453,0.07157301902770996
santa_cruz_de_tenerife,sales,Random Forest,test,119,2.9551728836657265,8317.28045302606,4447.19589688276,0.9789184319335641,0.07157301902770996
santa_cruz_de_tenerife,sales,Gradient Boosting,train,474,0.679024517095603,1121.7487969191338,853.8365097568906,0.9997393805138498,0.0641629695892334
santa_cruz_de_tenerife,sales,Gradient Boosting,test,119,2.724889827591983,7066.490406701516,4211.3803831975,0.9847823438535075,0.0641629695892334
santa_cruz_de_tenerife,sales,Decision Tree,train,474,2.6458481345074363,8786.841476517917,4018.2076384702964,0.9840087931117776,0.0015888214111328125
santa_cruz_de_tenerife,sales,Decision Tree,test,119,5.295824338963146,11335.024938391463,7679.671601974123,0.9608451847418517,0.0015888214111328125
barcelona,sales,Support Vector Regression,train,402,43.08418241551659,68918.85157703354,50733.44365524175,0.023217785016893866,0.006987094879150391
barcelona,sales,Support Vector Regression,test,101,39.254329248848016,60811.75063490971,46648.385018592904,0.040612697163446065,0.006987094879150391
barcelona,sales,Random Forest,train,402,2.6453747772415546,8285.552963630646,3647.467746912307,0.9858822763961438,0.07317090034484863
barcelona,sales,Random Forest,test,101,5.752036547867439,11738.263509308843,7106.345571684674,0.9642540647946009,0.07317090034484863
barcelona,sales,Gradient Boosting,train,402,0.3656689006563335,607.9359096398917,446.3535731149309,0.9999239958557271,0.05555915832519531
barcelona,sales,Gradient Boosting,test,101,4.686735072583962,9647.785247283326,6067.902731825736,0.9758523868276876,0.05555915832519531
barcelona,sales,Decision Tree,train,402,2.7655305661588634,7144.615257730801,3915.233949301113,0.9895026573649314,0.0015289783477783203
barcelona,sales,Decision Tree,test,101,9.06688871493829,17428.35899375886,11510.041725601131,0.9211989601140589,0.0015289783477783203
huelva,sales,Support Vector Regression,train,363,56.387316446833466,42059.96668145028,30993.11279135765,0.05692842209747351,0.006125926971435547
huelva,sales,Support Vector Regression,test,91,50.06083351855452,36247.87608777305,27878.256753732803,0.048921158823833966,0.006125926971435547
huelva,sales,Random Forest,train,363,2.8086113844282554,7839.010621569397,2097.3608194020526,0.9672410997559899,0.0764920711517334
huelva,sales,Random Forest,test,91,5.703345714202399,6420.145738752339,3563.826316865856,0.9701639611228932,0.0764920711517334
huelva,sales,Gradient Boosting,train,363,0.7023346656421798,1080.2910148899484,500.15789263573987,0.9993778596980633,0.048419952392578125
huelva,sales,Gradient Boosting,test,91,5.115122739142917,5461.000592478046,3338.8668564013287,0.9784128237107197,0.048419952392578125
huelva,sales,Decision Tree,train,363,3.0945225116796182,6871.966277379946,2506.8516988062443,0.9748250366489587,0.001361846923828125
huelva,sales,Decision Tree,test,91,8.03732827407389,8395.905842495864,5394.201465201466,0.948974589210811,0.001361846923828125
