price,bath_num,room_num,house_type,house_id,m2_real,m2_useful,loc_city,loc_zone,construct_date,garage
1400,2.0,3.0,16,82731347,120,110,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
950,1.0,2.0,16,84531502,72,65,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
1400,2.0,2.0,16,81569822,75,65,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
2500,2.0,4.0,16,83591860,110,100,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
750,1.0,0.0,20,35144215,60,55,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2000,0
1400,2.0,2.0,16,83762623,90,78,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1993,1
1200,2.0,2.0,16,28634469,85,80,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1600,2.0,2.0,16,81569815,74,64,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
900,1.0,1.0,16,31256386,45,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1900,2.0,2.0,16,82270932,89,84,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
2500,4.0,4.0,16,82246815,230,200,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1966,0
1500,1.0,2.0,16,84835523,65,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
950,2.0,2.0,16,84743091,60,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
900,2.0,2.0,16,84801567,80,70,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
2000,3.0,5.0,16,84802763,185,180,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
2800,3.0,3.0,16,32462731,170,155,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1966,0
1150,2.0,3.0,16,84806816,82,75,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
900,1.0,2.0,16,84818307,75,70,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
900,1.0,3.0,16,84819149,70,67,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1965,0
690,1.0,1.0,16,84819740,50,48,Renteria / Errenteria,"Donostialdea, Guipúzcoa",,0
700,1.0,1.0,16,84844304,52,50,Hondarribia,"Bajo Bidasoa, Guipúzcoa",2002,0
1100,1.0,1.0,16,82388625,41,40,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
850,3.0,3.0,18,82473506,138,120,Beasain,"Goierri, Guipúzcoa",,0
1550,2.0,3.0,16,84854654,120,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1200,2.0,3.0,18,84862431,126,110,Astigarraga,"Donostialdea, Guipúzcoa",2006,1
720,1.0,2.0,16,84866029,65,58,Irun,"Bajo Bidasoa, Guipúzcoa",,0
1550,2.0,3.0,16,84870377,130,120,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1150,2.0,3.0,16,84873493,97,84,Hondarribia,"Bajo Bidasoa, Guipúzcoa",1960,1
1200,1.0,2.0,16,32676935,62,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,0
900,1.0,1.0,16,34812776,45,40,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
650,2.0,3.0,16,1120889,80,78,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,1
1070,1.0,3.0,16,32807339,65,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
600,1.0,2.0,16,33301743,60,55,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1050,1.0,3.0,16,30658596,80,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
1050,1.0,1.0,16,84321598,50,43,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,0
1300,2.0,3.0,16,39194047,95,84,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1998,1
1400,2.0,3.0,16,83856542,100,85,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",1900,0
1180,1.0,2.0,16,84396188,73,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2019,1
1100,1.0,2.0,16,84399008,90,83,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2008,0
1200,2.0,3.0,16,84305122,87,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",2019,1
900,1.0,2.0,16,84558917,50,,Donostia-San Sebastián,"Donostialdea, Guipúzcoa",,0
