ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_calefacción individual: gasoil,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 11 de febrero,0,0,1.0,0,0,,no indicado,2 plantas,1,1,1884639,2,,Alconada de Maderuelo,"Calle Fresco, 4"," Calle Fresco, 4 , Alconada de Maderuelo , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",270,220,2019-04-13,39000,0,4.0,1,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 1 de abril,0,0,2.0,1,0,,no indicado,2 plantas,1,0,1894321,4,,Ayllon,"Calle Encinas, 12"," Calle Encinas, 12 , Ayllon , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",150,,2019-04-13,160000,0,4.0,1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 7 de abril,0,0,3.0,1,0,,no indicado,3 plantas,0,0,1905987,4,,Riaza,"Calle Real, 6"," Calle Real, 6 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",161,,2019-04-13,200000,0,5.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de abril,0,0,2.0,1,0,,no indicado,planta 2ª exterior,0,0,1966213,8,0,Riaza,"Calle Médico Valentín Gil, 8"," Calle Médico Valentín Gil, 8 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",82,,2019-04-13,90000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,0,0,1.0,0,0,,no indicado,planta 2ª exterior,1,0,2084151,8,0,Campo de San Pedro,"Carretera Riahuelas, 3"," Carretera Riahuelas, 3 , Campo de San Pedro , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",200,,2019-04-13,60000,0,5.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de marzo,0,0,1.0,0,0,,no indicado,1 planta,1,0,2135785,2,,Fresno de Cantespino,Urb. rihauelas (fresno de cantespino)," Travesía Real, 6 , Urb. rihauelas (fresno de cantespino) , Fresno de Cantespino , Área de Riaza, Segovia ","Travesía Real, 6","Área de Riaza, Segovia",110,,2019-04-13,52000,0,6.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de enero,0,0,1.0,1,0,,no indicado,planta 1ª exterior,0,0,26152470,0,1,Riaza,"Calle Valentin Gil, 8"," Calle Valentin Gil, 8 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",50,45,2019-04-13,68000,0,1.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,2.0,1,0,,no indicado,planta 3ª exterior,1,1,1750531,6,1,Riaza,Urb. mirador riaza," Avenida Madrid, 8 , Urb. mirador riaza , Riaza , Área de Riaza, Segovia ","Avenida Madrid, 8","Área de Riaza, Segovia",92,75,2019-04-13,115000,0,2.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 8 de abril,0,0,2.0,1,0,,,2 plantas,1,1,26614946,5,,Riaza,"Calle Colonia Masacor, 12"," Calle Colonia Masacor, 12 , Riaza , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",507,100,2019-04-13,155500,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de marzo,0,0,1.0,0,1,,no indicado,1 planta,1,1,27130107,1,,Riaguas de San Bartolomé,"Barriejo, 6"," Barriejo, 6 , Riaguas de San Bartolomé , Área de Riaza, Segovia ",,"Área de Riaza, Segovia",400,100,2019-04-13,65000,0,3.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
