ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_condition,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: bomba de frío/calor,heating_calefacción central: eléctrica,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_heating,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_orientation,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
más de 5 meses sin actualizar,0,0,2.0,1,0,,no indicado,3 plantas,0,0,82655760,6,,Guillena,Calle Volga s/n," Calle Volga s/n , Guillena , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",30,,2019-04-13,175000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,1,0,2007,,planta 1ª interior,0,0,35969161,3,1,Guillena,"Carretera Burguillos, 4"," Carretera Burguillos, 4 , Guillena , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",105,,2019-04-13,78930,1,3.0,0,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,1,0,,no indicado,1 planta,0,0,27282833,1,,El Pedroso,"Calle Huertas, 5"," Calle Huertas, 5 , El Pedroso , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",135,130,2019-04-13,77000,0,2.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,,0,0,34757364,2,,Constantina,"Calle Navas, 7"," Calle Navas, 7 , Constantina , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",50,,2019-04-13,36000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,2 plantas,0,0,35165829,2,,El Castillo de las Guardas,"Calle General Bernal, 15"," Calle General Bernal, 15 , El Castillo de las Guardas , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",144,,2019-04-13,140000,0,4.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,2.0,0,0,,no indicado,2 plantas,1,0,37513639,1,,Aznalcollar,"Calle Felix Rodriguez de la Fuente, 54"," Calle Felix Rodriguez de la Fuente, 54 , Aznalcollar , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",190,,2019-04-13,165000,0,3.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,1,0,37517558,3,0,Castilblanco de los Arroyos,"Calle Virgen de Escardiel, 52"," Calle Virgen de Escardiel, 52 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",90,,2019-04-13,95000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,2.0,0,0,,no indicado,,0,0,28994886,1,,Castilblanco de los Arroyos,"Carretera Almadén de la Plata, 9"," Carretera Almadén de la Plata, 9 , Castilblanco de los Arroyos , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",8000,,2019-04-13,187000,0,4.0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,1,0,1.0,1,0,,no indicado,,1,0,35193227,1,,El Pedroso,"Calle Comandante Gallego, 16"," Calle Comandante Gallego, 16 , El Pedroso , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",120,90,2019-04-13,80000,0,3.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 5 meses sin actualizar,0,0,1.0,0,0,,no indicado,planta 1ª exterior,0,0,39138566,3,0,Guillena,"Calle Almendro, 6 a"," Calle Almendro, 6 a , Guillena , Sierra norte, Sevilla ",,"Sierra norte, Sevilla",72,,2019-04-13,48000,0,2.0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
